id,name,type
0,-,Normal
1,Pound,Normal
2,Karate Chop,Fighting
3,Double Slap,Normal
4,Comet Punch,Normal
5,Mega Punch,Normal
6,Pay Day,Normal
7,Fire Punch,Fire
8,Ice Punch,Ice
9,Thunder Punch,Electric
10,Scratch,Normal
11,Vise Grip,Normal
12,Guillotine,Normal
13,Razor Wind,Normal
14,Swords Dance,Normal
15,Cut,Normal
16,Gust,Flying
17,Wing Attack,Flying
18,Whirlwind,Normal
19,Fly,Flying
20,Bind,Normal
21,Slam,Normal
22,Vine Whip,Grass
23,Stomp,Normal
24,Double Kick,Fighting
25,Mega Kick,Normal
26,Jump Kick,Fighting
27,Rolling Kick,Fighting
28,Sand Attack,Ground
29,Headbutt,Normal
30,Horn Attack,Normal
31,Fury Attack,Normal
32,Horn Drill,Normal
33,Tackle,Normal
34,Body Slam,Normal
35,Wrap,Normal
36,Take Down,Normal
37,Thrash,Normal
38,Double-Edge,Normal
39,Tail Whip,Normal
40,Poison Sting,Poison
41,Twineedle,Bug
42,Pin Missile,Bug
43,Leer,Normal
44,Bite,Dark
45,Growl,Normal
46,Roar,Normal
47,Sing,Normal
48,Supersonic,Normal
49,Sonic Boom,Normal
50,Disable,Normal
51,Acid,Poison
52,Ember,Fire
53,Flamethrower,Fire
54,Mist,Ice
55,Water Gun,Water
56,Hydro Pump,Water
57,Surf,Water
58,Ice Beam,Ice
59,Blizzard,Ice
60,Psybeam,Psychic
61,Bubble Beam,Water
62,Aurora Beam,Ice
63,Hyper Beam,Normal
64,Peck,Flying
65,Drill Peck,Flying
66,Submission,Fighting
67,Low Kick,Fighting
68,Counter,Fighting
69,Seismic Toss,Fighting
70,Strength,Normal
71,Absorb,Grass
72,Mega Drain,Grass
73,Leech Seed,Grass
74,Growth,Normal
75,Razor Leaf,Grass
76,Solar Beam,Grass
77,Poison Powder,Poison
78,Stun Spore,Grass
79,Sleep Powder,Grass
80,Petal Dance,Grass
81,String Shot,Bug
82,Dragon Rage,Dragon
83,Fire Spin,Fire
84,Thunder Shock,Electric
85,Thunderbolt,Electric
